quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id,receiver
100.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,362,2,100.0,2111,TRANG TP
66.000000,403,2022-11-07 15:01:26+00:00,2022-11-07 15:01:26+00:00,,363,2,100.0,2111,TRANG TP
102.000000,403,2022-11-07 15:05:13+00:00,2022-11-07 15:05:13+00:00,,274,2,66.0,2124,TRANG TP
102.000000,403,2022-11-07 15:05:13+00:00,2022-11-07 15:05:13+00:00,,275,2,66.0,2124,TRANG TP
67.000000,403,2022-11-07 15:05:13+00:00,2022-11-07 15:05:13+00:00,,276,2,66.0,2124,TRANG TP
151.000000,403,2022-11-07 15:05:13+00:00,2022-11-07 15:05:13+00:00,,277,2,66.0,2124,TRANG TP
102.000000,403,2022-11-07 15:05:13+00:00,2022-11-07 15:05:13+00:00,,278,2,66.0,2124,TRANG TP
67.000000,403,2022-11-07 15:05:13+00:00,2022-11-07 15:05:13+00:00,,279,2,66.0,2124,TRANG TP
102.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,284,2,70.0,2123,TRANG TP
102.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,285,2,70.0,2123,TRANG TP
102.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,286,2,70.0,2123,TRANG TP
67.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,287,2,70.0,2123,TRANG TP
151.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,288,2,70.0,2123,TRANG TP
102.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,289,2,70.0,2123,TRANG TP
67.000000,403,2022-11-07 15:09:00+00:00,2022-11-07 15:09:00+00:00,,290,2,70.0,2123,TRANG TP
100.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,333,2,90.0,2114,TRANG TP
100.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,334,2,90.0,2114,TRANG TP
100.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,335,2,90.0,2114,TRANG TP
100.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,336,2,90.0,2114,TRANG TP
149.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,337,2,90.0,2114,TRANG TP
100.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,338,2,90.0,2114,TRANG TP
66.000000,403,2022-11-07 15:12:57+00:00,2022-11-07 15:12:57+00:00,,339,2,90.0,2114,TRANG TP
200.000000,403,2022-11-07 15:16:11+00:00,2022-11-07 15:16:11+00:00,,322,2,85.0,2115,TRANG TP
200.000000,403,2022-11-07 15:16:12+00:00,2022-11-07 15:16:12+00:00,,323,2,85.0,2115,TRANG TP
200.000000,403,2022-11-07 15:16:12+00:00,2022-11-07 15:16:12+00:00,,324,2,85.0,2115,TRANG TP
132.000000,403,2022-11-07 15:16:12+00:00,2022-11-07 15:16:12+00:00,,325,2,85.0,2115,TRANG TP
297.000000,403,2022-11-07 15:16:12+00:00,2022-11-07 15:16:12+00:00,,326,2,85.0,2115,TRANG TP
200.000000,403,2022-11-07 15:16:12+00:00,2022-11-07 15:16:12+00:00,,327,2,85.0,2115,TRANG TP
132.000000,403,2022-11-07 15:16:12+00:00,2022-11-07 15:16:12+00:00,,328,2,85.0,2115,TRANG TP
103.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,192,2,47.0,2131,TRANG TP
103.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,193,2,47.0,2131,TRANG TP
103.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,194,2,47.0,2131,TRANG TP
103.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,195,2,47.0,2131,TRANG TP
68.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,196,2,47.0,2131,TRANG TP
153.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,197,2,47.0,2131,TRANG TP
103.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,198,2,47.0,2131,TRANG TP
68.000000,403,2022-11-07 15:19:22+00:00,2022-11-07 15:19:22+00:00,,199,2,47.0,2131,TRANG TP
100.000000,403,2022-11-07 15:21:47+00:00,2022-11-07 15:21:47+00:00,,441,2,129.0,2149,TRANG TP
66.000000,403,2022-11-07 15:21:47+00:00,2022-11-07 15:21:47+00:00,,442,2,129.0,2149,TRANG TP
149.000000,403,2022-11-07 15:21:47+00:00,2022-11-07 15:21:47+00:00,,443,2,129.0,2149,TRANG TP
100.000000,403,2022-11-07 15:21:47+00:00,2022-11-07 15:21:47+00:00,,444,2,129.0,2149,TRANG TP
66.000000,403,2022-11-07 15:21:47+00:00,2022-11-07 15:21:47+00:00,,445,2,129.0,2149,TRANG TP
102.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,229,2,58.0,2129,TRANG TP
102.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,230,2,58.0,2129,TRANG TP
102.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,231,2,58.0,2129,TRANG TP
67.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,232,2,58.0,2129,TRANG TP
151.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,233,2,58.0,2129,TRANG TP
102.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,234,2,58.0,2129,TRANG TP
67.000000,403,2022-11-07 15:24:16+00:00,2022-11-07 15:24:16+00:00,,235,2,58.0,2129,TRANG TP
103.000000,403,2022-11-07 15:26:59+00:00,2022-11-07 15:26:59+00:00,,310,2,81.0,2116,TRANG TP
103.000000,403,2022-11-07 15:26:59+00:00,2022-11-07 15:26:59+00:00,,311,2,81.0,2116,TRANG TP
