id,quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
3135,100.000000,400,2023-02-20 20:08:52+00:00,2023-02-20 20:08:52+00:00,,5120,3,1538,2995
3136,110.000000,400,2023-02-20 20:08:52+00:00,2023-02-20 20:08:52+00:00,,5121,3,1538,2995
3137,151.000000,400,2023-02-21 09:42:04+00:00,2023-02-21 09:42:04+00:00,,4057,3,1200,2831
3138,161.000000,400,2023-02-21 09:42:04+00:00,2023-02-21 09:42:04+00:00,,4058,3,1200,2831
3139,161.000000,400,2023-02-21 09:42:05+00:00,2023-02-21 09:42:05+00:00,,4059,3,1200,2831
3140,796.000000,400,2023-02-21 09:48:31+00:00,2023-02-21 09:48:31+00:00,,4859,3,1460,2684
3141,807.000000,400,2023-02-21 09:48:31+00:00,2023-02-21 09:48:31+00:00,,4860,3,1460,2684
3142,840.000000,400,2023-02-21 09:48:32+00:00,2023-02-21 09:48:32+00:00,,4861,3,1460,2684
3143,778.000000,400,2023-02-21 09:48:32+00:00,2023-02-21 09:48:32+00:00,,4862,3,1460,2684
3144,829.000000,400,2023-02-21 09:48:32+00:00,2023-02-21 09:48:32+00:00,,4863,3,1460,2684
3145,408.000000,400,2023-02-21 09:48:32+00:00,2023-02-21 09:48:32+00:00,,4864,3,1460,2684
3146,770.000000,400,2023-02-21 09:48:32+00:00,2023-02-21 09:48:32+00:00,,4865,3,1460,2684
3147,485.000000,400,2023-02-21 09:48:32+00:00,2023-02-21 09:48:32+00:00,,4866,3,1460,2684
3148,1427.000000,400,2023-02-21 09:48:33+00:00,2023-02-21 09:48:33+00:00,,4867,3,1460,2684
3149,462.000000,400,2023-02-21 09:48:33+00:00,2023-02-21 09:48:33+00:00,,4868,3,1460,2684
3150,277.000000,400,2023-02-21 09:51:35+00:00,2023-02-21 09:51:35+00:00,,4920,3,1476,2682
3151,256.000000,400,2023-02-21 09:51:36+00:00,2023-02-21 09:51:36+00:00,,4921,3,1476,2682
3152,285.000000,400,2023-02-21 09:51:36+00:00,2023-02-21 09:51:36+00:00,,4922,3,1476,2682
3153,256.000000,400,2023-02-21 09:51:36+00:00,2023-02-21 09:51:36+00:00,,4923,3,1476,2682
3154,283.000000,400,2023-02-21 09:51:36+00:00,2023-02-21 09:51:36+00:00,,4924,3,1476,2682
3155,44.000000,400,2023-02-21 09:51:36+00:00,2023-02-21 09:51:36+00:00,,4925,3,1476,2682
3156,3.000000,400,2023-02-21 09:51:37+00:00,2023-02-21 09:51:37+00:00,,4926,3,1476,2682
3157,246.000000,400,2023-02-21 09:51:37+00:00,2023-02-21 09:51:37+00:00,,4927,3,1476,2682
3158,162.000000,400,2023-02-21 09:51:37+00:00,2023-02-21 09:51:37+00:00,,4928,3,1476,2682
3159,360.000000,400,2023-02-21 09:51:37+00:00,2023-02-21 09:51:37+00:00,,4929,3,1476,2682
3160,148.000000,400,2023-02-21 09:51:37+00:00,2023-02-21 09:51:37+00:00,,4930,3,1476,2682
3161,270.000000,400,2023-02-21 09:51:53+00:00,2023-02-21 09:51:53+00:00,,4931,3,1478,2682
3162,290.000000,400,2023-02-21 09:56:53+00:00,2023-02-21 09:56:53+00:00,,4906,3,1472,2683
3163,256.000000,400,2023-02-21 09:56:53+00:00,2023-02-21 09:56:53+00:00,,4907,3,1472,2683
3164,300.000000,400,2023-02-21 09:56:54+00:00,2023-02-21 09:56:54+00:00,,4908,3,1472,2683
3165,259.000000,400,2023-02-21 09:56:54+00:00,2023-02-21 09:56:54+00:00,,4909,3,1472,2683
3166,283.000000,400,2023-02-21 09:56:54+00:00,2023-02-21 09:56:54+00:00,,4910,3,1472,2683
3167,44.000000,400,2023-02-21 09:56:54+00:00,2023-02-21 09:56:54+00:00,,4911,3,1472,2683
3168,3.000000,400,2023-02-21 09:56:54+00:00,2023-02-21 09:56:54+00:00,,4912,3,1472,2683
3169,246.000000,400,2023-02-21 09:56:55+00:00,2023-02-21 09:56:55+00:00,,4913,3,1472,2683
3170,173.000000,400,2023-02-21 09:56:55+00:00,2023-02-21 09:56:55+00:00,,4914,3,1472,2683
3171,343.000000,400,2023-02-21 09:56:55+00:00,2023-02-21 09:56:55+00:00,,4915,3,1472,2683
3172,155.000000,400,2023-02-21 09:56:56+00:00,2023-02-21 09:56:56+00:00,,4916,3,1472,2683
3173,270.000000,400,2023-02-21 09:57:15+00:00,2023-02-21 09:57:15+00:00,,4917,3,1474,2683
3174,376.000000,400,2023-02-21 09:59:01+00:00,2023-02-21 09:59:01+00:00,,4956,3,1486,2937
3175,338.000000,400,2023-02-21 09:59:02+00:00,2023-02-21 09:59:02+00:00,,4957,3,1486,2937
3176,310.000000,400,2023-02-21 09:59:02+00:00,2023-02-21 09:59:02+00:00,,4958,3,1486,2937
3177,317.000000,400,2023-02-21 09:59:02+00:00,2023-02-21 09:59:02+00:00,,4959,3,1486,2937
3178,162.000000,400,2023-02-21 09:59:02+00:00,2023-02-21 09:59:02+00:00,,4960,3,1486,2937
3179,303.000000,400,2023-02-21 09:59:03+00:00,2023-02-21 09:59:03+00:00,,4961,3,1486,2937
3180,191.000000,400,2023-02-21 09:59:03+00:00,2023-02-21 09:59:03+00:00,,4962,3,1486,2937
3181,442.000000,400,2023-02-21 09:59:03+00:00,2023-02-21 09:59:03+00:00,,4963,3,1486,2937
3182,182.000000,400,2023-02-21 09:59:03+00:00,2023-02-21 09:59:03+00:00,,4964,3,1486,2937
3183,179.000000,400,2023-02-21 10:00:43+00:00,2023-02-21 10:00:43+00:00,,4366,3,1322,2895
3184,180.000000,400,2023-02-21 10:00:43+00:00,2023-02-21 10:00:43+00:00,,4367,3,1322,2895
3185,160.000000,400,2023-02-21 10:00:43+00:00,2023-02-21 10:00:43+00:00,,4368,3,1322,2895
3186,223.000000,400,2023-02-21 10:00:43+00:00,2023-02-21 10:00:43+00:00,,4369,3,1322,2895
3187,160.000000,400,2023-02-21 10:00:44+00:00,2023-02-21 10:00:44+00:00,,4370,3,1322,2895
3188,99.000000,400,2023-02-21 10:00:44+00:00,2023-02-21 10:00:44+00:00,,4371,3,1322,2895
3189,99.000000,400,2023-02-21 10:00:44+00:00,2023-02-21 10:00:44+00:00,,4372,3,1322,2895
3190,112.000000,400,2023-02-21 10:02:26+00:00,2023-02-21 10:02:26+00:00,,4968,3,1490,2923
3191,107.000000,400,2023-02-21 10:02:26+00:00,2023-02-21 10:02:26+00:00,,4969,3,1490,2923
3192,66.000000,400,2023-02-21 10:02:26+00:00,2023-02-21 10:02:26+00:00,,4970,3,1490,2923
3193,149.000000,400,2023-02-21 10:02:26+00:00,2023-02-21 10:02:26+00:00,,4971,3,1490,2923
3194,105.000000,400,2023-02-21 10:02:26+00:00,2023-02-21 10:02:26+00:00,,4972,3,1490,2923
3195,66.000000,400,2023-02-21 10:02:27+00:00,2023-02-21 10:02:27+00:00,,4973,3,1490,2923
3196,100.000000,400,2023-02-21 10:02:51+00:00,2023-02-21 10:02:51+00:00,,4974,3,1492,2923
3197,117.000000,400,2023-02-21 10:02:51+00:00,2023-02-21 10:02:51+00:00,,4975,3,1492,2923
3198,106.000000,400,2023-02-21 10:02:51+00:00,2023-02-21 10:02:51+00:00,,4976,3,1492,2923
3199,104.000000,400,2023-02-21 10:04:40+00:00,2023-02-21 10:04:40+00:00,,4635,3,1411,2922
3200,107.000000,400,2023-02-21 10:04:40+00:00,2023-02-21 10:04:40+00:00,,4636,3,1411,2922
3201,66.000000,400,2023-02-21 10:04:40+00:00,2023-02-21 10:04:40+00:00,,4637,3,1411,2922
3202,149.000000,400,2023-02-21 10:04:40+00:00,2023-02-21 10:04:40+00:00,,4638,3,1411,2922
3203,105.000000,400,2023-02-21 10:04:41+00:00,2023-02-21 10:04:41+00:00,,4639,3,1411,2922
3204,66.000000,400,2023-02-21 10:04:41+00:00,2023-02-21 10:04:41+00:00,,4640,3,1411,2922
