product_id,product_code,product_unit_id,purchase_order_quantity,purchase_order_id,is_complete,amount,vnd_exchange_rate,vnd_exchange
888,1-KATE00-SBL-00-AK,17203,20.000000,1511,1,28000.000000,0.0,0.0
888,1-KATE00-SBL-00-AK,17203,10.000000,532,1,28000.000000,0.0,0.0
889,1-KATE00-VGR-00-AK,11588,10.000000,167,1,28000.000000,0.0,0.0
889,1-KATE00-VGR-00-AK,11588,15.000000,1397,1,28000.000000,0.0,0.0
889,1-KATE00-VGR-00-AK,12848,10.000000,833,1,28000.000000,0.0,0.0
898,1-KATE00-STO-00-AK,898,5.000000,185,1,28000.000000,0.0,0.0
898,1-KATE00-STO-00-AK,898,40.000000,982,1,28000.000000,0.0,0.0
904,1-KATE00-WHI-00-HV,11802,1000.000000,1028,1,1.100000,22800.0,25080.0
904,1-KATE00-WHI-00-HV,11802,2000.000000,632,1,1.100000,22800.0,25080.0
904,1-KATE00-WHI-00-HV,10304,2000.000000,42,0,1.100000,22800.0,25080.0
904,1-KATE00-WHI-00-HV,11802,1000.000000,1704,1,1.100000,22800.0,25080.0
904,1-KATE00-WHI-00-HV,11802,500.000000,1634,1,1.100000,22800.0,25080.0
904,1-KATE00-WHI-00-HV,11802,1000.000000,1759,1,1.100000,22800.0,25080.0
